Date,State,Incident Description
1977,Nebraska,Other
1978,Arizona,Severe Storm/Flooding
1978,West Virginia,Severe Storm/Flooding
1978,Kentucky,Severe Storm/Flooding
1978,Louisiana,Severe Storm/Flooding
1978,California,Fire
1978,California,Other
1978,Louisiana,Severe Storm/Flooding
1978,Arkansas,Severe Storm/Flooding
1978,Colorado,Fire
1978,Oregon,Fire
1978,Alabama,Severe Storm/Flooding
1978,New York,Other
1978,Texas,Severe Storm/Flooding
1978,Minnesota,Severe Storm/Flooding
1978,North Dakota,Severe Storm/Flooding
1978,Wisconsin,Severe Storm/Flooding
1978,Montana,Severe Storm/Flooding
1978,Wyoming,Severe Storm/Flooding
1978,Louisiana,Severe Storm/Flooding
1978,Mississippi,Severe Storm/Flooding
1978,Alabama,Severe Storm/Flooding
1978,Arkansas,Severe Storm/Flooding
1978,Minnesota,Winter Storm
1978,North Dakota,Winter Storm
1978,Indiana,Severe Storm/Flooding
1978,Nebraska,Winter Storm
1978,Arizona,Severe Storm/Flooding
1978,Maine,Severe Storm/Flooding
1978,Rhode Island,Winter Storm
1978,New Hampshire,Severe Storm/Flooding
1978,North Dakota,Winter Storm
1978,California,Severe Storm/Flooding
1978,Massachusetts,Winter Storm
1978,Massachusetts,Winter Storm
1978,Rhode Island,Winter Storm
1978,Connecticut,Winter Storm
1978,Indiana,Winter Storm
1978,Michigan,Winter Storm
1978,Ohio,Winter Storm
1978,Arkansas,Severe Storm/Flooding
1979,Washington,Severe Storm/Flooding
1979,California,Other
1979,Connecticut,Severe Storm/Flooding
1979,Virginia,Severe Storm/Flooding
1979,North Carolina,Severe Storm/Flooding
1979,Florida,Severe Storm/Flooding
1979,Louisiana,Severe Storm/Flooding
1979,Texas,Severe Storm/Flooding
1979,Maryland,Severe Storm/Flooding
1979,Mississippi,Tropical Storm
1979,Alabama,Tropical Storm
1979,Florida,Tropical Storm
1979,Idaho,Fire
1979,Montana,Fire
1979,Oregon,Fire
1979,Indiana,Severe Storm/Flooding
1979,Texas,Severe Storm/Flooding
1979,California,Severe Storm/Flooding
1979,Oregon,Fire
1979,Oregon,Fire
1979,Washington,Fire
1979,Virginia,Severe Storm/Flooding
1979,Wyoming,Severe Storm/Flooding
1979,Kentucky,Severe Storm/Flooding
1979,Iowa,Severe Storm/Flooding
1979,New Mexico,Winter Storm
1979,Kansas,Severe Storm/Flooding
1979,Texas,Severe Storm/Flooding
1979,Nevada,Fire
