Year,State,Avg Temperature Index
2007,Ohio,52.26666666666666
2008,Ohio,50.63333333333333
2009,Ohio,50.541666666666664
2010,Ohio,51.708333333333336
2011,Ohio,52.30833333333333
2012,Ohio,54.03333333333333
2013,Ohio,50.875
2014,Ohio,49.19999999999999
2015,Ohio,51.625
2016,Ohio,53.54999999999999
1956,Oklahoma,61.55833333333334
1957,Oklahoma,59.03333333333333
1958,Oklahoma,58.675000000000004
1959,Oklahoma,58.88333333333333
1960,Oklahoma,58.349999999999994
1961,Oklahoma,58.21666666666667
1962,Oklahoma,59.79166666666668
1963,Oklahoma,60.78333333333333
1964,Oklahoma,60.091666666666676
1965,Oklahoma,60.366666666666674
1966,Oklahoma,58.59166666666666
1967,Oklahoma,59.5
1968,Oklahoma,58.18333333333333
1969,Oklahoma,59.09166666666666
1970,Oklahoma,59.26666666666667
1971,Oklahoma,59.5
1972,Oklahoma,59.19166666666666
1973,Oklahoma,59.025000000000006
1974,Oklahoma,59.58333333333334
1975,Oklahoma,58.66666666666666
1976,Oklahoma,58.62499999999999
1977,Oklahoma,60.71666666666667
1978,Oklahoma,58.48333333333334
1979,Oklahoma,57.383333333333326
1980,Oklahoma,60.46666666666666
1981,Oklahoma,60.45833333333334
1982,Oklahoma,58.949999999999996
1983,Oklahoma,57.991666666666674
1984,Oklahoma,59.400000000000006
1985,Oklahoma,58.73333333333332
1986,Oklahoma,60.76666666666666
1987,Oklahoma,59.60833333333334
1988,Oklahoma,59.15833333333333
1989,Oklahoma,58.08333333333334
1990,Oklahoma,60.658333333333324
1991,Oklahoma,60.275000000000006
1992,Oklahoma,59.349999999999994
1993,Oklahoma,58.125
1994,Oklahoma,59.71666666666667
1995,Oklahoma,59.39166666666667
1996,Oklahoma,58.98333333333334
1997,Oklahoma,58.74166666666665
1998,Oklahoma,62.1
1999,Oklahoma,61.35
2000,Oklahoma,60.30833333333333
2001,Oklahoma,60.79166666666668
2002,Oklahoma,59.425000000000004
2003,Oklahoma,59.86666666666667
2004,Oklahoma,60.15
2005,Oklahoma,60.84166666666666
2006,Oklahoma,62.15833333333333
2007,Oklahoma,60.050000000000004
2008,Oklahoma,59.56666666666666
2009,Oklahoma,59.425000000000004
2010,Oklahoma,60.31666666666666
2011,Oklahoma,61.64166666666666
2012,Oklahoma,63.15833333333334
2013,Oklahoma,58.83333333333334
